tm,MVm,PVm
2.750000000000000000e+02,1.000000000000000000e+00,2.029999999999999305e-01
2.760000000000000000e+02,1.000000000000000000e+00,2.102499999999999092e-01
2.770000000000000000e+02,1.000000000000000000e+00,1.942499999999998950e-01
2.780000000000000000e+02,1.000000000000000000e+00,2.007500000000000395e-01
2.790000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
2.800000000000000000e+02,1.000000000000000000e+00,2.007500000000000395e-01
2.810000000000000000e+02,1.000000000000000000e+00,2.224999999999999756e-01
2.820000000000000000e+02,1.000000000000000000e+00,1.982499999999999818e-01
2.830000000000000000e+02,1.000000000000000000e+00,2.037499999999999589e-01
2.840000000000000000e+02,1.000000000000000000e+00,1.949999999999999234e-01
2.850000000000000000e+02,1.000000000000000000e+00,2.047499999999999321e-01
2.860000000000000000e+02,1.000000000000000000e+00,1.974999999999999534e-01
2.870000000000000000e+02,1.000000000000000000e+00,2.047499999999999321e-01
2.880000000000000000e+02,1.000000000000000000e+00,2.022499999999999021e-01
2.890000000000000000e+02,1.000000000000000000e+00,2.007500000000000395e-01
2.900000000000000000e+02,1.000000000000000000e+00,2.102499999999999092e-01
2.910000000000000000e+02,1.000000000000000000e+00,2.070000000000000173e-01
2.920000000000000000e+02,1.000000000000000000e+00,2.070000000000000173e-01
2.930000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
2.940000000000000000e+02,1.000000000000000000e+00,1.997499999999998721e-01
2.950000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01
2.960000000000000000e+02,1.000000000000000000e+00,2.102499999999999092e-01
2.970000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
2.980000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
2.990000000000000000e+02,1.000000000000000000e+00,2.247499999999998666e-01
3.000000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
3.010000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
3.020000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
3.030000000000000000e+02,1.000000000000000000e+00,1.924999999999998934e-01
3.040000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
3.050000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
3.060000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
3.070000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
3.080000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
3.090000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
3.100000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
3.110000000000000000e+02,1.000000000000000000e+00,1.997499999999998721e-01
3.120000000000000000e+02,1.000000000000000000e+00,2.047499999999999321e-01
3.130000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
3.140000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
3.150000000000000000e+02,1.000000000000000000e+00,2.152499999999999969e-01
3.160000000000000000e+02,1.000000000000000000e+00,2.022499999999999021e-01
3.170000000000000000e+02,1.000000000000000000e+00,2.152499999999999969e-01
3.180000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
3.190000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
3.200000000000000000e+02,1.000000000000000000e+00,2.054999999999999605e-01
3.210000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.220000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.230000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
